index,source,target,weight
46,United States Centers for Disease Control and Prevention (CDC),William T. Grant Foundation,69
47,MacArthur Foundation,William T. Grant Foundation,86
48,United States Department of Health and Human Services (HHS),William T. Grant Foundation,14
49,United States National Institutes of Health (NIH),William T. Grant Foundation,102
50,Office of Juvenile Justice and Delinquency Prevention,William T. Grant Foundation,68
51,Robert Wood Johnson Foundation,William T. Grant Foundation,106
52,Chicago Community Trust,William T. Grant Foundation,24
53,MacArthur Foundation,Open Society Foundations,41
54,Open Society Foundations,United States Department of Health and Human Services (HHS),16
55,Office of Juvenile Justice and Delinquency Prevention,Open Society Foundations,20
56,Open Society Foundations,Robert Wood Johnson Foundation,34
57,Chicago Community Trust,Open Society Foundations,28
58,MacArthur Foundation,United States Centers for Disease Control and Prevention (CDC),71
59,United States Centers for Disease Control and Prevention (CDC),United States Department of Health and Human Services (HHS),43
60,Office of Juvenile Justice and Delinquency Prevention,United States Centers for Disease Control and Prevention (CDC),59
61,Robert Wood Johnson Foundation,United States Centers for Disease Control and Prevention (CDC),352
62,Chicago Community Trust,United States Centers for Disease Control and Prevention (CDC),20
63,MacArthur Foundation,United States Department of Health and Human Services (HHS),127
64,MacArthur Foundation,United States National Institutes of Health (NIH),279
65,MacArthur Foundation,Office of Juvenile Justice and Delinquency Prevention,63
66,MacArthur Foundation,Robert Wood Johnson Foundation,273
67,Chicago Community Trust,MacArthur Foundation,20
68,United States Department of Health and Human Services (HHS),United States National Institutes of Health (NIH),549
69,Office of Juvenile Justice and Delinquency Prevention,United States Department of Health and Human Services (HHS),10
70,Robert Wood Johnson Foundation,United States Department of Health and Human Services (HHS),591
71,Chicago Community Trust,United States Department of Health and Human Services (HHS),14
72,Office of Juvenile Justice and Delinquency Prevention,United States National Institutes of Health (NIH),67
73,Robert Wood Johnson Foundation,United States National Institutes of Health (NIH),3302
74,Chicago Community Trust,United States National Institutes of Health (NIH),27
75,Office of Juvenile Justice and Delinquency Prevention,Robert Wood Johnson Foundation,67
76,Chicago Community Trust,Office of Juvenile Justice and Delinquency Prevention,20
77,Chicago Community Trust,Robert Wood Johnson Foundation,24
78,British Academy,University of Oxford,6
79,British Academy,Robertson Foundation,5
80,British Academy,Open Society Foundations,12
81,Robertson Foundation,University of Oxford,5
82,Open Society Foundations,University of Oxford,27
83,Open Society Foundations,Robertson Foundation,5
84,International Development Research Center (IDRC),Open Society Foundations,8
85,Open Society Foundations,Tinker Foundation,2
86,Spanish Ministerio de Economia y Competitividad,University of Oxford,2
87,National Natural Science Foundation of China (NSFC),University of Oxford,1
88,Open Society Foundations,Spanish Ministerio de Economia y Competitividad,2
89,National Natural Science Foundation of China (NSFC),Open Society Foundations,1
90,National Natural Science Foundation of China (NSFC),Spanish Ministerio de Economia y Competitividad,1
91,American Heart Association,United States National Institutes of Health (NIH),155
92,American Heart Association,Paul and Daisy Soros Fellowship for New Americans,9
93,Doris Duke Charitable Foundation (DDCF),Open Society Foundations,2
94,National Institute of Justice,William T. Grant Foundation,49
95,National Institute of Justice,Open Society Foundations,6
96,National Institute of Justice,United States Centers for Disease Control and Prevention (CDC),44
97,MacArthur Foundation,National Institute of Justice,50
98,National Institute of Justice,United States Department of Health and Human Services (HHS),2
99,National Institute of Justice,United States National Institutes of Health (NIH),50
100,National Institute of Justice,Robert Wood Johnson Foundation,50
101,Chicago Community Trust,National Institute of Justice,6
102,,United States National Science Foundation (NSF),201
103,,Paul and Daisy Soros Fellowship for New Americans,17
104,David and Lucile Packard Foundation,United States National Science Foundation (NSF),3855
105,David and Lucile Packard Foundation,Paul and Daisy Soros Fellowship for New Americans,8
106,David and Lucile Packard Foundation,United States National Institutes of Health (NIH),1553
107,,Stanford University,33
108,,American Heart Association,10
109,,United States National Institutes of Health (NIH),401
110,Paul and Daisy Soros Fellowship for New Americans,Stanford University,33
111,American Heart Association,Stanford University,20
112,American Heart Association,United States National Science Foundation (NSF),23
113,Fannie and John Hertz Foundation,United States Department of Defense (DOD),8
114,Gordon and Betty Moore Foundation,United States Department of Defense (DOD),11
115,Fannie and John Hertz Foundation,United States National Science Foundation (NSF),18
116,Gordon and Betty Moore Foundation,United States National Science Foundation (NSF),363
117,Fannie and John Hertz Foundation,Paul and Daisy Soros Fellowship for New Americans,11
118,Gordon and Betty Moore Foundation,Paul and Daisy Soros Fellowship for New Americans,2
119,Fannie and John Hertz Foundation,Gordon and Betty Moore Foundation,2
120,Cottrell Scholar Program through the Research Corporation for Science Advancement,United States National Science Foundation (NSF),4
121,Cottrell Scholar Program through the Research Corporation for Science Advancement,United States Department of Energy (DOE),4
122,Cottrell Scholar Program through the Research Corporation for Science Advancement,Paul and Daisy Soros Fellowship for New Americans,4
123,Cottrell Scholar Program through the Research Corporation for Science Advancement,Simons Foundation,2
124,Simons Foundation,United States National Science Foundation (NSF),292
125,Simons Foundation,United States Department of Energy (DOE),87
126,Paul and Daisy Soros Fellowship for New Americans,Simons Foundation,18
127,CUA,United States National Science Foundation (NSF),34
128,Government of Japan,United States National Science Foundation (NSF),144
129,CUA,Paul and Daisy Soros Fellowship for New Americans,1
130,Government of Japan,Paul and Daisy Soros Fellowship for New Americans,5
131,CUA,Government of Japan,1
132,Harvard University,Paul and Daisy Soros Fellowship for New Americans,4
133,Harvard University,United States National Institutes of Health (NIH),50
134,Paul and Daisy Soros Fellowship for New Americans,Yale University,4
135,United States National Institutes of Health (NIH),Yale University,10
136,Harvard University,United States National Science Foundation (NSF),34
137,Australian Research Council,United States National Science Foundation (NSF),135
138,Australian Research Council,Paul and Daisy Soros Fellowship for New Americans,4
139,Australian Research Council,LIGO Laboratory,8
140,German Research Foundation (DFG),Paul and Daisy Soros Fellowship for New Americans,4
141,Canadian Institutes of Health Research (CIHR),Paul and Daisy Soros Fellowship for New Americans,2
142,German Research Foundation (DFG),United States National Institutes of Health (NIH),86
143,Canadian Institutes of Health Research (CIHR),United States National Institutes of Health (NIH),284
144,Canadian Institutes of Health Research (CIHR),German Research Foundation (DFG),4
145,German Research Foundation (DFG),Yale University,3
146,Canadian Institutes of Health Research (CIHR),Yale University,1
147,European Commission,United States National Science Foundation (NSF),545
148,European Commission,Paul and Daisy Soros Fellowship for New Americans,16
149,Australian Research Council,European Commission,104
150,European Commission,LIGO Laboratory,5
151,Open Society Foundations,UK Research and Innovation (UKRI),27
152,UK Research and Innovation (UKRI),United States National Institutes of Health (NIH),1039
153,United States National Science Foundation (NSF),United States Office of Naval Research,213
154,Paul and Daisy Soros Fellowship for New Americans,United States Office of Naval Research,2
155,United States National Institutes of Health (NIH),United States Office of Naval Research,71
156,Simons Foundation,United States Office of Naval Research,12
157,Simons Foundation,United States National Institutes of Health (NIH),57
158,MAC AIDS Fund,Open Society Foundations,5
159,Laura and John Arnold Foundation,Open Society Foundations,13
160,European Commission,Open Society Foundations,23
161,European Commission,Ford Foundation,109
162,European Commission,European Research Council,333
163,European Research Council,Open Society Foundations,4
164,European Research Council,Ford Foundation,10
165,Danish National Research Foundation,United States National Science Foundation (NSF),54
166,Danish National Research Foundation,Paul and Daisy Soros Fellowship for New Americans,1
167,Danish National Research Foundation,Simons Foundation,24
168,Danish National Research Foundation,LIGO Laboratory,1
169,LIGO Laboratory,Simons Foundation,1
170,Open Society Foundations,Social Sciences and Humanities Research Council of Canada (SSHRC),3
171,International Development Research Center (IDRC),Social Sciences and Humanities Research Council of Canada (SSHRC),1
172,Human Frontier Science Program,Paul and Daisy Soros Fellowship for New Americans,2
173,Human Frontier Science Program,United States National Institutes of Health (NIH),43
174,David and Lucile Packard Foundation,Human Frontier Science Program,29
175,,Harvard University,2
176,ARNEC,UNICEF,4
177,Open Society Foundations,UNICEF,8
178,ARNEC,Open Society Foundations,4
179,Bristol-Myers Squibb,Open Society Foundations,3
180,Democracy Fund,Open Society Foundations,2
181,Canadian Institutes of Health Research (CIHR),Open Society Foundations,5
182,,Cottrell Scholar Program through the Research Corporation for Science Advancement,1
183,Cottrell Scholar Program through the Research Corporation for Science Advancement,Government of Japan,1
184,,United States Department of Energy (DOE),42
185,Government of Japan,United States Department of Energy (DOE),39
186,,Simons Foundation,35
187,,Government of Japan,21
188,Government of Japan,Simons Foundation,12
189,Carnegie Corporation of New York,Open Society Foundations,2
190,Oak Foundation,Open Society Foundations,5
191,Carnegie Corporation of New York,MacArthur Foundation,82
192,Carnegie Corporation of New York,Ford Foundation,134
193,Carnegie Corporation of New York,Oak Foundation,2
194,Ford Foundation,MacArthur Foundation,130
195,MacArthur Foundation,Oak Foundation,4
196,Ford Foundation,Oak Foundation,6
197,National Geographic Society,United States National Science Foundation (NSF),78
198,National Geographic Society,Open Society Foundations,2
199,Smithsonian Institution,United States National Science Foundation (NSF),150
200,Paul and Daisy Soros Fellowship for New Americans,Smithsonian Institution,1
201,Simons Foundation,United States National Aeronautics & Space Administration (NASA),133
202,Smithsonian Institution,United States National Aeronautics & Space Administration (NASA),7
203,Simons Foundation,Smithsonian Institution,7
204,German Research Foundation (DFG),Open Society Foundations,2
205,Howard Hughes Medical Institute,United States Department of Defense (DOD),24
206,Howard Hughes Medical Institute,United States National Science Foundation (NSF),133
207,Government of United Kingdom,Open Society Foundations,1
208,Open Society Foundations,Russian Foundaion for Basic Resaerch (RFBR),4
209,Novo Nordisk Foundation,Open Society Foundations,1
210,Laura and John Arnold Foundation,Novo Nordisk Foundation,2
211,Open Society Foundations,University of California System,1
212,Bill and Melinda Gates Foundation,Open Society Foundations,36
213,Bill and Melinda Gates Foundation,CGIAR,2941
214,Bill and Melinda Gates Foundation,Global Fund,27
215,Bill and Melinda Gates Foundation,United States National Institutes of Health (NIH),7645
216,Bill and Melinda Gates Foundation,UN AIDS,34
217,Bill and Melinda Gates Foundation,World Health Organization,496
218,Bill and Melinda Gates Foundation,Government of Australia,107
219,CGIAR,Open Society Foundations,6
220,Global Fund,Open Society Foundations,11
221,Open Society Foundations,UN AIDS,8
222,Open Society Foundations,World Health Organization,20
223,Government of Australia,Open Society Foundations,4
224,CGIAR,Global Fund,12
225,CGIAR,United States National Institutes of Health (NIH),843
226,CGIAR,UN AIDS,11
227,CGIAR,World Health Organization,108
228,CGIAR,Government of Australia,55
229,Global Fund,United States National Institutes of Health (NIH),12
230,Global Fund,UN AIDS,8
231,Global Fund,World Health Organization,10
232,Global Fund,Government of Australia,4
233,UN AIDS,United States National Institutes of Health (NIH),13
234,United States National Institutes of Health (NIH),World Health Organization,226
235,Government of Australia,United States National Institutes of Health (NIH),34
236,UN AIDS,World Health Organization,17
237,Government of Australia,UN AIDS,4
238,Government of Australia,World Health Organization,21
239,Open Society Foundations,United States Agency for International Development (USAID),10
240,Fannie and John Hertz Foundation,United States National Institutes of Health (NIH),12
241,Engelberg Foundation,Open Society Foundations,7
242,Engelberg Foundation,Kaiser Permanente,1
243,Engelberg Foundation,Laura and John Arnold Foundation,7
244,Kaiser Permanente,Open Society Foundations,1
245,Kaiser Permanente,Laura and John Arnold Foundation,1
246,United Nations Development Programme,United States National Institutes of Health (NIH),4
247,Open Society Foundations,United Nations Development Programme,4
248,Harry Frank Guggenheim Foundation,United States National Science Foundation (NSF),6
249,Harry Frank Guggenheim Foundation,Open Society Foundations,8
250,Microsoft,United States National Science Foundation (NSF),105
251,Alfred P. Sloan Foundation,United States National Science Foundation (NSF),632
252,Microsoft,Paul and Daisy Soros Fellowship for New Americans,2
253,Alfred P. Sloan Foundation,Paul and Daisy Soros Fellowship for New Americans,8
254,Alfred P. Sloan Foundation,Microsoft,28
255,David and Lucile Packard Foundation,Microsoft,99
256,Alfred P. Sloan Foundation,David and Lucile Packard Foundation,805
257,Mekelle University,Open Society Foundations,7
258,Israel Science Foundation,Open Society Foundations,1
259,Johns Hopkins University,Open Society Foundations,1
260,Institute for New Economic Thinking,Open Society Foundations,1
261,Institute for New Economic Thinking,Johns Hopkins University,1
262,Johns Hopkins University,United States National Institutes of Health (NIH),55
263,Institute for New Economic Thinking,United States National Institutes of Health (NIH),1
264,United States Department of Labor (DOL),William T. Grant Foundation,11
265,United States Department of Housing and Urban Development (HUD),William T. Grant Foundation,10
266,Open Society Foundations,United States Department of Labor (DOL),10
267,Open Society Foundations,United States Department of Housing and Urban Development (HUD),10
268,MacArthur Foundation,United States Department of Labor (DOL),8
269,United States Department of Labor (DOL),United States National Institutes of Health (NIH),12
270,Office of Juvenile Justice and Delinquency Prevention,United States Department of Labor (DOL),8
271,Robert Wood Johnson Foundation,United States Department of Labor (DOL),12
272,United States Department of Housing and Urban Development (HUD),United States Department of Labor (DOL),10
273,Chicago Community Trust,United States Department of Labor (DOL),10
274,MacArthur Foundation,United States Department of Housing and Urban Development (HUD),8
275,United States Department of Housing and Urban Development (HUD),United States National Institutes of Health (NIH),10
276,Office of Juvenile Justice and Delinquency Prevention,United States Department of Housing and Urban Development (HUD),8
277,Robert Wood Johnson Foundation,United States Department of Housing and Urban Development (HUD),11
278,Chicago Community Trust,United States Department of Housing and Urban Development (HUD),10
279,National Health and Medical Research Council of Australia,Open Society Foundations,4
280,Australian National Drug and Alcohol Research Centre,Open Society Foundations,7
281,Open Society Foundations,Wellcome Trust,6
282,European Commission,National Health and Medical Research Council of Australia,99
283,Global Fund,National Health and Medical Research Council of Australia,4
284,National Health and Medical Research Council of Australia,UN AIDS,2
285,National Health and Medical Research Council of Australia,World Health Organization,25
286,Australian National Drug and Alcohol Research Centre,National Health and Medical Research Council of Australia,5
287,National Health and Medical Research Council of Australia,Wellcome Trust,42
288,European Commission,Global Fund,10
289,European Commission,UN AIDS,28
290,European Commission,World Health Organization,194
291,Australian National Drug and Alcohol Research Centre,European Commission,3
292,European Commission,Wellcome Trust,1751
293,Australian National Drug and Alcohol Research Centre,Global Fund,5
294,Global Fund,Wellcome Trust,6
295,Australian National Drug and Alcohol Research Centre,UN AIDS,3
296,UN AIDS,Wellcome Trust,11
297,Australian National Drug and Alcohol Research Centre,World Health Organization,5
298,Wellcome Trust,World Health Organization,75
299,Australian National Drug and Alcohol Research Centre,Wellcome Trust,1
300,Abell Foundation,Open Society Foundations,5
301,Abell Foundation,United States Centers for Disease Control and Prevention (CDC),4
302,Abell Foundation,Annie E. Casey Foundation,4
303,Annie E. Casey Foundation,Open Society Foundations,9
304,Annie E. Casey Foundation,United States Centers for Disease Control and Prevention (CDC),11
305,United States Army Research Office,United States Department of Energy (DOE),14
306,European Commission,Swedish National Science Foundation,117
307,Open Society Foundations,Swedish National Science Foundation,1
308,Abell Foundation,United States National Institutes of Health (NIH),4
309,Google,Paul and Daisy Soros Fellowship for New Americans,5
310,Atlantic Philanthropies,World Health Organization,2
311,United States Agency for International Development (USAID),World Health Organization,118
312,Atlantic Philanthropies,United States Agency for International Development (USAID),1
313,Gilead Sciences,Open Society Foundations,4
314,Gilead Sciences,United States National Institutes of Health (NIH),102
315,Harvard-MIT Center for Regulatory Science,Open Society Foundations,5
316,Harvard-MIT Center for Regulatory Science,Laura and John Arnold Foundation,7
317,Engelberg Foundation,Harvard-MIT Center for Regulatory Science,5
318,,LIGO Laboratory,1
319,,National Health and Medical Research Council of Australia,10
320,National Health and Medical Research Council of Australia,Paul and Daisy Soros Fellowship for New Americans,1
321,National Health and Medical Research Council of Australia,Stanford University,2
322,National Health and Medical Research Council of Australia,United States National Institutes of Health (NIH),194
323,Paul and Daisy Soros Fellowship for New Americans,Virginia and D. K. Ludwig Fund for Cancer Research,4
324,California Institute for Regenerative Medicine,Paul and Daisy Soros Fellowship for New Americans,9
325,United States National Institutes of Health (NIH),Virginia and D. K. Ludwig Fund for Cancer Research,6
326,California Institute for Regenerative Medicine,Virginia and D. K. Ludwig Fund for Cancer Research,4
327,California Institute for Regenerative Medicine,United States National Institutes of Health (NIH),47
328,Paul and Daisy Soros Fellowship for New Americans,University of Michigan,3
329,United States National Institutes of Health (NIH),University of Michigan,88
330,Open Society Foundations,United States Department of Justice (DOJ),4
331,Open Society Foundations,Russell Sage Foundation,4
332,National Institute of Justice,United States Department of Justice (DOJ),4
333,National Institute of Justice,Russell Sage Foundation,4
334,Russell Sage Foundation,United States Department of Justice (DOJ),4
335,Chicago Community Trust,United States Department of Justice (DOJ),4
336,Chicago Community Trust,Russell Sage Foundation,4
337,Open Society Foundations,Social Sciences Research Council (SSRC),7
338,Andrew W. Mellon Foundation,Social Sciences Research Council (SSRC),45
339,Harry Frank Guggenheim Foundation,Social Sciences Research Council (SSRC),6
340,Andrew W. Mellon Foundation,Open Society Foundations,4
341,Andrew W. Mellon Foundation,Harry Frank Guggenheim Foundation,4
342,Columbia University,Open Society Foundations,1
343,Columbia University,United States National Institutes of Health (NIH),7
344,Columbia University,United Nations Development Programme,1
345,Bill and Melinda Gates Foundation,UK Research and Innovation (UKRI),2373
346,Bill and Melinda Gates Foundation,UK National Institute of Health Research (NIHR),325
347,Australian National Drug and Alcohol Research Centre,Bill and Melinda Gates Foundation,5
348,Bill and Melinda Gates Foundation,National Health and Medical Research Council of Australia,261
349,Open Society Foundations,UK National Institute of Health Research (NIHR),11
350,Global Fund,UK Research and Innovation (UKRI),10
351,Global Fund,UK National Institute of Health Research (NIHR),6
352,UK National Institute of Health Research (NIHR),United States National Institutes of Health (NIH),166
353,Australian National Drug and Alcohol Research Centre,United States National Institutes of Health (NIH),7
354,UK Research and Innovation (UKRI),World Health Organization,106
355,UK National Institute of Health Research (NIHR),World Health Organization,27
356,UK National Institute of Health Research (NIHR),UK Research and Innovation (UKRI),245
357,Australian National Drug and Alcohol Research Centre,UK Research and Innovation (UKRI),4
358,National Health and Medical Research Council of Australia,UK Research and Innovation (UKRI),199
359,Australian National Drug and Alcohol Research Centre,UK National Institute of Health Research (NIHR),4
360,National Health and Medical Research Council of Australia,UK National Institute of Health Research (NIHR),12
361,Open Society Foundations,The World Bank,2
362,Open Society Foundations,William and Flora Hewlett Foundation,6
363,Ford Foundation,Laura and John Arnold Foundation,4
364,Open Society Foundations,University of California Institute for Mexico and the United States,1
365,United States National Institutes of Health (NIH),University of California Institute for Mexico and the United States,1
366,Stanford University,Virginia and D. K. Ludwig Fund for Cancer Research,3
367,California Institute for Regenerative Medicine,Stanford University,22
368,British Academy,European Commission,7
369,United States National Science Foundation (NSF),Wenner-Gren Foundation,50
370,Open Society Foundations,Wenner-Gren Foundation,4
371,Searle Scholars Foundation,United States Department of Defense (DOD),1
372,Searle Scholars Foundation,United States National Science Foundation (NSF),2
373,Paul and Daisy Soros Fellowship for New Americans,Searle Scholars Foundation,5
374,Searle Scholars Foundation,United States National Institutes of Health (NIH),8
375,Searle Scholars Foundation,United States Army Research Office,1
376,Open Society Foundations,South African National Research Foundation,9
377,Paul and Daisy Soros Fellowship for New Americans,Vallee Foundation,16
378,Novo Nordisk Foundation,Paul and Daisy Soros Fellowship for New Americans,1
379,Paul G. Allen Family Foundation,Paul and Daisy Soros Fellowship for New Americans,10
380,New York Stem Cell Foundation,Paul and Daisy Soros Fellowship for New Americans,14
381,Howard Hughes Medical Institute,Vallee Foundation,12
382,United States National Institutes of Health (NIH),Vallee Foundation,21
383,Novo Nordisk Foundation,Vallee Foundation,1
384,Simons Foundation,Vallee Foundation,14
385,Paul G. Allen Family Foundation,Vallee Foundation,11
386,New York Stem Cell Foundation,Vallee Foundation,14
387,Howard Hughes Medical Institute,Novo Nordisk Foundation,1
388,Howard Hughes Medical Institute,Simons Foundation,18
389,Howard Hughes Medical Institute,Paul G. Allen Family Foundation,10
390,Howard Hughes Medical Institute,New York Stem Cell Foundation,9
391,Novo Nordisk Foundation,United States National Institutes of Health (NIH),27
392,Paul G. Allen Family Foundation,United States National Institutes of Health (NIH),24
393,New York Stem Cell Foundation,United States National Institutes of Health (NIH),38
394,Novo Nordisk Foundation,Simons Foundation,1
395,Novo Nordisk Foundation,Paul G. Allen Family Foundation,1
396,New York Stem Cell Foundation,Novo Nordisk Foundation,1
397,Paul G. Allen Family Foundation,Simons Foundation,11
398,New York Stem Cell Foundation,Simons Foundation,11
399,New York Stem Cell Foundation,Paul G. Allen Family Foundation,9
400,American Association of University Women,United States National Science Foundation (NSF),11
401,American Association of University Women,Open Society Foundations,2
402,Social Sciences and Humanities Research Council of Canada (SSHRC),Wenner-Gren Foundation,2
403,Social Sciences Research Council (SSRC),Wenner-Gren Foundation,12
404,Harry Frank Guggenheim Foundation,Wenner-Gren Foundation,3
405,Social Sciences Research Council (SSRC),Social Sciences and Humanities Research Council of Canada (SSHRC),2
406,Harry Frank Guggenheim Foundation,Social Sciences and Humanities Research Council of Canada (SSHRC),2
407,Open Society Foundations,Paul and Daisy Soros Fellowship for New Americans,2
408,Ford Foundation,Paul and Daisy Soros Fellowship for New Americans,2
409,CGIAR,UK National Institute of Health Research (NIHR),88
410,UK National Institute of Health Research (NIHR),UN AIDS,5
411,Government of Australia,UK National Institute of Health Research (NIHR),2
412,CGIAR,UK Research and Innovation (UKRI),492
413,UK Research and Innovation (UKRI),UN AIDS,27
414,Government of Australia,UK Research and Innovation (UKRI),57
415,United States Department of Energy (DOE),United States National Institutes of Health (NIH),93
416,Alfred P. Sloan Foundation,Cottrell Scholar Program through the Research Corporation for Science Advancement,1
417,Alfred P. Sloan Foundation,United States Department of Energy (DOE),101
418,Paul and Daisy Soros Fellowship for New Americans,Siebel Stem Cell Institute,4
419,German Research Foundation (DFG),Virginia and D. K. Ludwig Fund for Cancer Research,3
420,California Institute for Regenerative Medicine,German Research Foundation (DFG),4
421,German Research Foundation (DFG),Siebel Stem Cell Institute,5
422,Siebel Stem Cell Institute,Virginia and D. K. Ludwig Fund for Cancer Research,2
423,Siebel Stem Cell Institute,United States National Institutes of Health (NIH),7
424,California Institute for Regenerative Medicine,Siebel Stem Cell Institute,4
425,Open Society Foundations,Pew Charitable Trusts,4
426,Pew Charitable Trusts,United States National Institutes of Health (NIH),56
427,Open Society Foundations,Rockefeller Foundation,4
428,New York Community Trust,Rockefeller Foundation,7
429,Rockefeller Foundation,Starr Foundation,29
430,MacArthur Foundation,Rockefeller Foundation,43
431,Bloomberg Philanthropies,Rockefeller Foundation,6
432,Annie E. Casey Foundation,Rockefeller Foundation,5
433,New York Community Trust,Open Society Foundations,4
434,Open Society Foundations,Starr Foundation,3
435,Bloomberg Philanthropies,Open Society Foundations,3
436,New York Community Trust,Starr Foundation,5
437,MacArthur Foundation,New York Community Trust,4
438,Bloomberg Philanthropies,New York Community Trust,3
439,Annie E. Casey Foundation,New York Community Trust,3
440,MacArthur Foundation,Starr Foundation,26
441,Bloomberg Philanthropies,Starr Foundation,3
442,Annie E. Casey Foundation,Starr Foundation,3
443,Bloomberg Philanthropies,MacArthur Foundation,2
444,Annie E. Casey Foundation,MacArthur Foundation,20
445,Annie E. Casey Foundation,Bloomberg Philanthropies,3
446,,United States Department of Defense (DOD),23
447,,Fannie and John Hertz Foundation,4
448,Bill and Melinda Gates Foundation,MacArthur Foundation,89
449,Bill and Melinda Gates Foundation,Ford Foundation,143
450,Bill and Melinda Gates Foundation,Robert Wood Johnson Foundation,97
451,Ford Foundation,Robert Wood Johnson Foundation,46
452,Economic  Social Research Council UK (ESRC),UK Research and Innovation (UKRI),63
453,Bill and Melinda Gates Foundation,University of Oxford,32
454,British Academy,Leverhulme Trust,2
455,Leverhulme Trust,Open Society Foundations,1
456,Elton John AIDS Foundation,Open Society Foundations,7
457,Elton John AIDS Foundation,United States National Institutes of Health (NIH),9
458,United States National Science Foundation (NSF),Welch Foundation,42
459,Paul and Daisy Soros Fellowship for New Americans,Welch Foundation,4
460,Google,United States National Institutes of Health (NIH),35
461,Google,Welch Foundation,3
462,United States National Institutes of Health (NIH),Welch Foundation,72
463,Bill and Melinda Gates Foundation,United Nations Population Fund,17
464,Open Society Foundations,United Nations Population Fund,10
465,United Nations Population Fund,United States National Institutes of Health (NIH),14
466,Australian National Drug and Alcohol Research Centre,United Nations Population Fund,2
467,American Cancer Society,Atlantic Philanthropies,1
468,Livestrong Foundation,Open Society Foundations,10
469,Open Society Foundations,UK Department for International Development,3
470,Livestrong Foundation,United States National Institutes of Health (NIH),6
471,UK Department for International Development,United States National Institutes of Health (NIH),187
472,Livestrong Foundation,World Health Organization,1
473,Livestrong Foundation,UK Department for International Development,1
474,UK Department for International Development,World Health Organization,27
475,Government of Japan,Open Society Foundations,3
476,European Research Council,Government of Japan,15
477,Economic  Social Research Council UK (ESRC),Open Society Foundations,2
478,Paul and Daisy Soros Fellowship for New Americans,Swedish National Science Foundation,4
479,European Commission,United States National Institutes of Health (NIH),1576
480,Swedish National Science Foundation,United States National Institutes of Health (NIH),62
481,European Commission,UK Research and Innovation (UKRI),1969
482,European Commission,UK National Institute of Health Research (NIHR),285
483,Paul and Daisy Soros Fellowship for New Americans,UK National Institute of Health Research (NIHR),1
484,European Commission,Stanford University,75
485,Stanford University,Swedish National Science Foundation,7
486,Stanford University,UK National Institute of Health Research (NIHR),1
487,Swedish National Science Foundation,UK National Institute of Health Research (NIHR),9
488,Open Society Foundations,United States Department of Defense (DOD),2
489,South African Medical Research Council,UK Research and Innovation (UKRI),207
490,Open Society Foundations,South African Medical Research Council,5
