,dataset,funder_value,frequency
39,packard,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Advancing Translational Sciences (NCATS)  Funding Source: NIH RePORTER,118
40,packard,Royal SocietyRoyal Society of LondonEuropean Commission,117
41,packard,ARO,116
42,packard,John D. and Catherine T. MacArthur Foundation,113
43,packard,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Neurological Disorders & Stroke (NINDS)  Funding Source: NIH RePORTER,109
44,packard,National Science Foundation Graduate Research FellowshipNational Science Foundation (NSF),108
45,packard,Division Of PhysicsNational Science Foundation (NSF)NSF - Directorate for Mathematical & Physical Sciences (MPS)  Funding Source: National Science Foundation,103
46,packard,Department of EnergyUnited States Department of Energy (DOE),102
47,packard,Directorate For GeosciencesNational Science Foundation (NSF)NSF - Directorate for Geosciences (GEO)  Funding Source: National Science Foundation,101
48,packard,Walton Family Foundation,98
49,packard,ONROffice of Naval Research,92
50,packard,Leverhulme TrustLeverhulme Trust,92
51,packard,U.S. National Science FoundationNational Science Foundation (NSF),89
52,packard,AFOSRUnited States Department of DefenseAir Force Office of Scientific Research (AFOSR),89
53,packard,Heising-Simons Foundation,88
54,packard,"Grants-in-Aid for Scientific ResearchMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of ScienceGrants-in-Aid for Scientific Research (KAKENHI)  Funding Source: KAKEN",88
55,packard,National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC),85
56,packard,DARPAUnited States Department of DefenseDefense Advanced Research Projects Agency (DARPA),85
57,packard,Packard Foundation Fellowship,82
58,packard,NSERCNatural Sciences and Engineering Research Council of Canada (NSERC),81
59,packard,Swiss National Science FoundationSwiss National Science Foundation (SNSF)European Commission,80
60,packard,US Department of EnergyUnited States Department of Energy (DOE),79
61,packard,Research CorporationResearch Corporation for Science Advancement,78
62,packard,David and Lucile Packard Fellowship for Science and EngineeringThe David & Lucile Packard Foundation,77
63,packard,AFOSR MURIUnited States Department of DefenseAir Force Office of Scientific Research (AFOSR)MURI,75
64,packard,Division Of Materials ResearchNational Science Foundation (NSF)NSF - Directorate for Mathematical & Physical Sciences (MPS)  Funding Source: National Science Foundation,73
65,packard,National Institutes of Health (NIH)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,71
66,packard,Schmidt Fund for Innovative Research,70
67,packard,NATIONAL INSTITUTE OF MENTAL HEALTHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH)  Funding Source: NIH RePORTER,70
68,packard,Scottish Funding Council,70
69,packard,NATIONAL EYE INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Eye Institute (NEI)  Funding Source: NIH RePORTER,69
70,packard,Scottish Universities Physics Alliance,69
71,packard,NSF Graduate Research FellowshipNational Science Foundation (NSF),68
72,packard,Council of Scientific and Industrial Research of IndiaCouncil of Scientific & Industrial Research (CSIR) - India,68
73,packard,ARO MURIMURI,67
74,packard,DFGGerman Research Foundation (DFG)European Commission,66
75,packard,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Arthritis & Musculoskeletal & Skin Diseases (NIAMS)  Funding Source: NIH RePORTER,66
76,packard,"Carnegie TrustMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of Science",66
77,packard,Deutsche ForschungsgemeinschaftGerman Research Foundation (DFG),65
78,packard,ERCEuropean Research Council (ERC)European Commission,65
79,packard,NATIONAL LIBRARY OF MEDICINEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Library of Medicine (NLM)  Funding Source: NIH RePORTER,65
80,packard,Istituto Nazionale di Fisica Nucleare of ItalyIstituto Nazionale di Fisica Nucleare (INFN),64
81,packard,NSF CAREERNational Science Foundation (NSF)NSF - Office of the Director (OD),63
82,packard,Natural Environment Research CouncilUK Research & Innovation (UKRI)Natural Environment Research Council (NERC)  Funding Source: researchfish,62
83,packard,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERINGUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Biomedical Imaging & Bioengineering (NIBIB)  Funding Source: NIH RePORTER,62
84,packard,NATIONAL INSTITUTE ON DEAFNESS AND OTHER COMMUNICATION DISORDERSUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Deafness & Other Communication Disorders (NIDCD)  Funding Source: NIH RePORTER,61
85,packard,Air Force Office of Scientific ResearchUnited States Department of DefenseAir Force Office of Scientific Research (AFOSR),60
86,packard,National Institute of General Medical SciencesUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS),60
87,packard,National Science Foundation Graduate Research Fellowship ProgramNational Science Foundation (NSF),59
88,packard,David and Lucille Packard FellowshipThe David & Lucile Packard Foundation,59
89,packard,Packard fellowshipThe David & Lucile Packard Foundation,59
90,packard,NATIONAL HUMAN GENOME RESEARCH INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Human Genome Research Institute (NHGRI)  Funding Source: NIH RePORTER,59
91,packard,Moore FoundationGordon and Betty Moore Foundation,58
92,packard,Ohio State UniversityOhio State University,58
93,packard,Alfred P. Sloan FellowshipAlfred P. Sloan Foundation,58
94,packard,Science and Technology Facilities Council of the United KingdomUK Research & Innovation (UKRI)Science & Technology Facilities Council (STFC),56
95,packard,Direct For Biological SciencesNational Science Foundation (NSF)NSF - Directorate for Biological Sciences (BIO)  Funding Source: National Science Foundation,56
96,packard,Danish National Research FoundationDanmarks Grundforskningsfond,55
97,packard,National Geographic SocietyNational Geographic Society,55
98,packard,William and Flora Hewlett Foundation,55
99,packard,University of Portsmouth,54
100,packard,Gordon & Betty Moore FoundationGordon and Betty Moore Foundation,54
101,packard,European Research CouncilEuropean Research Council (ERC)European Commission,54
102,packard,W.M. Keck FoundationW.M. Keck Foundation,54
103,packard,Child Health Research Institute,53
104,packard,Welch FoundationThe Welch Foundation,53
105,packard,Marisla Foundation,52
106,packard,Alfred P. Sloan Research FellowshipAlfred P. Sloan Foundation,52
107,packard,NOAANational Oceanic Atmospheric Admin (NOAA) - USA,52
108,packard,Pew Charitable Trusts,52
109,packard,Avatar Alliance Foundation,52
110,packard,Natural Sciences and Engineering Research Council of CanadaNatural Sciences and Engineering Research Council of Canada (NSERC)CGIAR,52
111,packard,Bill and Melinda Gates FoundationBill & Melinda Gates Foundation,51
112,packard,NSF-MRSECNational Science Foundation (NSF)NSF - Directorate for Mathematical & Physical Sciences (MPS),51
113,packard,Johns Hopkins UniversityJohns Hopkins University,51
114,packard,BSFUS-Israel Binational Science Foundation,51
115,packard,"Polish Ministry of Science and Higher EducationMinistry of Science and Higher Education, Poland",51
116,packard,Packard foundationThe David & Lucile Packard Foundation,50
117,packard,Conselleria d'Economia Hisenda i Innovacio of the Govern de les Illes Balears,50
118,packard,Stanford UniversityStanford University,49
119,packard,University of WashingtonUniversity of Washington,49
120,packard,Max Planck SocietyMax Planck SocietyFoundation CELLEX,49
121,packard,European UnionEuropean Commission,48
122,packard,David and Lucile Packard foundationThe David & Lucile Packard Foundation,48
123,packard,Division Of Ocean SciencesNational Science Foundation (NSF)NSF - Directorate for Geosciences (GEO)  Funding Source: National Science Foundation,48
124,packard,James S. McDonnell Foundation,48
125,packard,Space Telescope Science InstituteSpace Telescope Science Institute,48
126,packard,U.S. Army Research Office,47
127,packard,Andrew Mellon Foundation,47
128,packard,Margaret A. Cargill Foundation,46
129,packard,Defense Advanced Research Projects AgencyUnited States Department of DefenseDefense Advanced Research Projects Agency (DARPA),45
130,packard,Grantham Foundation for the Protection of the Environment,45
131,packard,Camille and Henry Dreyfus Foundation,44
132,packard,NSF GRFPNational Science Foundation (NSF)NSF - Office of the Director (OD),44
133,packard,Higher Education Funding Council for EnglandHigher Education Funding Council for England,43
134,packard,University of CambridgeUniversity of Cambridge,43
135,packard,Oak Foundation,43
136,packard,Netherlands Organisation for Scientific ResearchNetherlands Organization for Scientific Research (NWO),43
137,packard,NATIONAL INSTITUTE ON AGINGUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Aging (NIA)  Funding Source: NIH RePORTER,42
138,packard,University of ChicagoUniversity of Chicago,41
139,packard,John Templeton Foundation,41
140,packard,American Heart AssociationAmerican Heart Association,41
141,packard,Keck FoundationW.M. Keck Foundation,41
142,packard,ARL-CDQI,40
143,packard,Lucile Packard FoundationThe David & Lucile Packard Foundation,39
144,packard,State of Niedersachsen/Germany,39
145,packard,Wellcome TrustWellcome TrustEuropean Commission,38
146,packard,"International Science Linkages program of the Commonwealth of AustraliaAustralian GovernmentDepartment of Industry, Innovation and Science",38
147,packard,University of MichiganUniversity of Michigan System,37
148,packard,Kavli Foundation,37
149,packard,Simons Investigator Award,37
150,packard,Microsoft Faculty Fellowship,37
151,packard,US National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,37
152,packard,Spanish Ministerio de Educacion y CienciaSpanish Government,37
153,packard,Spanish Ministerio de Economia y Competitividad,37
154,packard,National Research Foundation of KoreaNational Research Foundation of Korea,37
155,packard,STFCUK Research & Innovation (UKRI)Science & Technology Facilities Council (STFC),36
156,packard,Max-Planck-SocietyMax Planck SocietyFoundation CELLEX,36
157,packard,Wallace Alexander Gerbode Foundation,35
158,packard,Israel Science FoundationIsrael Science Foundation,35
159,packard,New Mexico State University,35
160,packard,National Fish and Wildlife Foundation,35
161,packard,Lawrence Berkeley National LaboratoryUnited States Department of Energy (DOE),34
162,packard,David and Lucile Packard Foundation FellowshipThe David & Lucile Packard Foundation,34
163,packard,Andrew W. Mellon Foundation,34
164,packard,Princeton UniversityPrinceton University,34
165,packard,FOCUS Programme of Foundation for Polish ScienceFoundation for Polish Science,34
166,packard,Keck grant,34
167,packard,Pennsylvania State University,33
168,packard,Microsoft Corporation,33
169,packard,United States National Science FoundationNational Science Foundation (NSF),33
170,packard,CUA,33
171,packard,Alexander von Humboldt FoundationAlexander von Humboldt Foundation,32
172,packard,"U.S. Department of Energy, Office of Science, Office of Basic Energy SciencesUnited States Department of Energy (DOE)",32
173,packard,Arnold and Mabel Beckman Foundation,32
174,packard,TABASGO Foundation,32
175,packard,Human Frontier Science ProgramHuman Frontier Science Program,32
176,packard,Hewlett Packard Foundation,31
177,packard,Stanford Graduate FellowshipStanford University,31
178,packard,Sandler Family Supporting Foundation,31
179,packard,Agouron InstitutePfizer,31
180,packard,Division Of Earth SciencesNational Science Foundation (NSF)NSF - Directorate for Geosciences (GEO)  Funding Source: National Science Foundation,31
181,packard,Packard Foundation through a Packard Research Fellowship,30
182,packard,US Army Research Office,30
183,packard,Stanford CTSAUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Advancing Translational Sciences (NCATS),30
184,packard,National Cancer InstituteUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI),29
185,packard,NSF Graduate Research Fellowship ProgramNational Science Foundation (NSF),29
186,packard,"JSPS KAKENHIMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of ScienceGrants-in-Aid for Scientific Research (KAKENHI)",29
187,packard,Harvard University,29
188,packard,Division Of Environmental BiologyNational Science Foundation (NSF)NSF - Directorate for Biological Sciences (BIO)  Funding Source: National Science Foundation,29
189,packard,NSF grantNational Science Foundation (NSF),29
190,packard,National Library of MedicineUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Library of Medicine (NLM),29
191,packard,U.S. Department of Energy Office of ScienceUnited States Department of Energy (DOE),28
192,packard,Yale University,28
193,packard,Searle Scholars Program,28
194,packard,National Institute of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,28
195,packard,University of Virginia,27
196,packard,ISFIsrael Science Foundation,27
197,packard,Christopher R. Redlich Fund,27
198,packard,Child Health Research Institute of Stanford University,27
199,packard,Welch foundationThe Welch Foundation,27
200,packard,Sloan FellowshipAlfred P. Sloan Foundation,27
201,packard,NASA through Space Telescope Science InstituteSpace Telescope Science Institute,27
202,packard,University of Pennsylvania,26
203,packard,Camille Dreyfus Teacher-Scholar Program,26
204,packard,David and Lucile Packard Foundation Fellowship for Science and EngineeringThe David & Lucile Packard Foundation,26
205,packard,Camille & Henry Dreyfus Foundation,26
206,packard,Nature Conservancy,26
207,packard,University of Arizona,26
208,packard,Robert Wood Johnson FoundationRobert Wood Johnson Foundation (RWJF),26
209,packard,American Cancer SocietyAmerican Cancer Society,26
210,packard,FONDECYTComision Nacional de Investigacion Cientifica y Tecnologica (CONICYT)CONICYT FONDECYT,25
211,packard,Conselho Nacional de Desenvolvimento Cientifico e TecnologicoConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),25
212,packard,Office of Science of the U.S. Department of EnergyUnited States Department of Energy (DOE),25
213,packard,CONACYTConsejo Nacional de Ciencia y Tecnologia (CONACyT),25
214,packard,Simons Investigator award from the Simons Foundation,25
215,packard,NSFCNational Natural Science Foundation of China (NSFC),25
216,packard,"DOE Office of Basic Energy Sciences, Division of Materials Sciences and EngineeringUnited States Department of Energy (DOE)",25
217,packard,Royal Society University Research FellowshipRoyal Society of London,25
218,packard,NASA ATPNational Aeronautics & Space Administration (NASA),25
219,packard,Wisconsin Alumni Research Foundation,25
220,packard,European CommissionEuropean CommissionEuropean Commission Joint Research Centre,25
221,packard,David-Lucile Packard FoundationThe David & Lucile Packard Foundation,25
222,packard,Hartwell Foundation,24
223,packard,University of Edinburgh,24
224,packard,Swiss National Science Foundation (SNSF)Swiss National Science Foundation (SNSF),24
225,packard,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH &HUMAN DEVELOPMENTUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD)  Funding Source: NIH RePORTER,24
226,packard,"Japanese MonbukagakushoMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)",24
227,packard,Ford Foundation,23
228,packard,Gordon and Betty Moore Foundation's EPiQS Initiative,23
229,packard,National Oceanic and Atmospheric AdministrationNational Oceanic Atmospheric Admin (NOAA) - USA,23
230,packard,Kavli Institute for Cosmological Physics at the University of ChicagoUniversity of Chicago,23
231,packard,National Science and Engineering Research Council CanadaNatural Sciences and Engineering Research Council of Canada (NSERC),23
232,packard,New York Stem Cell Foundation,23
233,packard,University College London,22
234,packard,University of Nottingham,22
235,packard,University of Sussex,22
236,packard,Texas AM University,22
237,packard,DOE Office of ScienceUnited States Department of Energy (DOE),22
238,packard,Chinese Academy of SciencesChinese Academy of Sciences,22
239,packard,NSF CAREER awardNational Science Foundation (NSF)NSF - Office of the Director (OD),22
240,packard,Alfred P Sloan FoundationAlfred P. Sloan Foundation,22
241,packard,Swedish Research CouncilSwedish Research CouncilEuropean Commission,22
242,packard,STScISpace Telescope Science Institute,22
243,packard,Carnegie/DOE Alliance Center (CDAC)United States Department of Energy (DOE),22
244,packard,Ministry of Science and Education of SpainSpanish Government,21
245,packard,Kavli Institute of Cosmological Physics at the University of Chicago,21
246,packard,Mitchell Institute for Fundamental Physics and Astronomy at Texas AM University,21
247,packard,Financiadora de Estudos e ProjetosFinanciadora de Inovacao e Pesquisa (Finep),21
248,packard,"Ministerio da Ciencia, Tecnologia e Inovacao",21
249,packard,Defense Advanced Research Projects Agency (DARPA)United States Department of DefenseDefense Advanced Research Projects Agency (DARPA),21
250,ford,Ford Foundation,1344
251,ford,National Science FoundationNational Science Foundation (NSF),319
252,ford,NSFNational Science Foundation (NSF),137
253,ford,NIHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,129
254,ford,National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,119
255,ford,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS)  Funding Source: NIH RePORTER,116
256,ford,Ford Foundation Predoctoral Fellowship,106
257,ford,Carnegie Corporation of New York,91
258,ford,Wellcome Trust (UK)Wellcome Trust,80
259,ford,Ford Foundation Fellowship,70
260,ford,Consortium for Advanced Research Training in Africa (CARTA),68
261,ford,MacArthur Foundation,68
262,ford,National Science Foundation Graduate Research FellowshipNational Science Foundation (NSF),68
263,ford,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID)  Funding Source: NIH RePORTER,64
264,ford,Department for International Development (DfID) under the Development Partnerships in Higher Education (DelPHE),64
265,ford,Sida,62
266,ford,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENTUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD)  Funding Source: NIH RePORTER,62
267,ford,National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC),58
268,ford,,58
269,ford,NATIONAL CANCER INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI)  Funding Source: NIH RePORTER,56
270,ford,Ford Foundation Dissertation Fellowship,51
271,ford,Bill and Melinda Gates FoundationBill & Melinda Gates Foundation,47
272,ford,Google.Org,40
273,ford,NATIONAL INSTITUTE OF MENTAL HEALTHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH)  Funding Source: NIH RePORTER,38
274,ford,NATIONAL INSTITUTE ON DRUG ABUSEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA)European Commission  Funding Source: NIH RePORTER,34
275,ford,NASANational Aeronautics & Space Administration (NASA),30
276,ford,NATIONAL INSTITUTE ON AGINGUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Aging (NIA)  Funding Source: NIH RePORTER,30
277,ford,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Neurological Disorders & Stroke (NINDS)  Funding Source: NIH RePORTER,30
278,ford,William and Flora Hewlett Foundation,30
279,ford,Wellcome TrustWellcome TrustEuropean Commission,29
280,ford,John D. and Catherine T. MacArthur Foundation,28
281,ford,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI)  Funding Source: NIH RePORTER",27
282,ford,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERINGUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Biomedical Imaging & Bioengineering (NIBIB)  Funding Source: NIH RePORTER,27
283,ford,National Institutes of Health (NIH)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,27
284,ford,Ford Foundation Postdoctoral Fellowship,26
285,ford,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH &HUMAN DEVELOPMENTUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD)  Funding Source: NIH RePORTER,25
286,ford,National Geographic SocietyNational Geographic Society,24
287,ford,David and Lucile Packard FoundationThe David & Lucile Packard Foundation,23
288,ford,National Science Foundation Graduate Research Fellowship ProgramNational Science Foundation (NSF),22
289,ford,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Diabetes & Digestive & Kidney Diseases (NIDDK)  Funding Source: NIH RePORTER,22
290,ford,Charles Stewart Mott Foundation,22
291,ford,NATIONAL CENTER FOR RESEARCH RESOURCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Research Resources (NCRR)  Funding Source: NIH RePORTER,22
292,ford,Russell Sage Foundation,21
293,ford,National Institute of Mental HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH),21
294,ford,U.S. National Science FoundationNational Science Foundation (NSF),20
295,ford,Ford Foundation Fellowship Program,20
296,ford,NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISMUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Alcohol Abuse & Alcoholism (NIAAA)  Funding Source: NIH RePORTER,20
297,ford,NSF Graduate Research FellowshipNational Science Foundation (NSF),19
298,ford,National Institute of Child Health and Human DevelopmentUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),18
299,ford,Andrew W. Mellon Foundation,18
300,ford,Google.org,17
301,ford,International Development Research Centre (IDRC),16
302,ford,Leakey Foundation,16
303,ford,National Cancer InstituteUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI),16
304,ford,Robert Wood Johnson FoundationRobert Wood Johnson Foundation (RWJF),16
305,ford,Ford Foundation Professorship of Physics at Brown University,15
306,ford,National Science Foundation (NSF)National Science Foundation (NSF),15
307,ford,Wenner-Gren Foundation,15
308,ford,Henry Ford Foundation,15
309,ford,Ford Foundation Pre-Doctoral Fellowship,15
310,ford,Annie E. Casey Foundation,14
311,ford,Spencer Foundation,14
312,ford,FOGARTY INTERNATIONAL CENTERUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Fogarty International Center (FIC)  Funding Source: NIH RePORTER,14
313,ford,Alfred P. Sloan FoundationAlfred P. Sloan Foundation,13
314,ford,National Institute on AgingUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Aging (NIA),13
315,ford,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Advancing Translational Sciences (NCATS)  Funding Source: NIH RePORTER,13
316,ford,Gordon and Betty Moore FoundationGordon and Betty Moore Foundation,13
317,ford,World BankThe World Bank India,13
318,ford,"OFFICE OF THE DIRECTOR, NATIONAL INSTITUTES OF HEALTHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA  Funding Source: NIH RePORTER",13
319,ford,University of the Witwatersrand,13
320,ford,Atlantic Philanthropies,12
321,ford,Open Society Foundations,12
322,ford,US National Science FoundationNational Science Foundation (NSF),12
323,ford,Rockefeller Foundation,12
324,ford,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Environmental Health Sciences (NIEHS)  Funding Source: NIH RePORTER,12
325,ford,NICHDUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),12
326,ford,Direct For Biological SciencesNational Science Foundation (NSF)NSF - Directorate for Biological Sciences (BIO)  Funding Source: National Science Foundation,12
327,ford,Ford Foundation International Fellowship Program,12
328,ford,Ford Foundation Predoctoral Research Fellowship,11
329,ford,Palaeontological Scientific Trust,11
330,ford,Howard Hughes Medical InstituteHoward Hughes Medical Institute,11
331,ford,Mellon Foundation,11
